title,detail_title,job_url,company,company_name_full,company_url,company_url_from_job,salary_list,detail_salary,address_list,detail_location,exp_list,detail_experience,deadline,working_addresses,working_times,desc_mota,desc_yeucau,desc_quyenloi,skills,company_website,company_size,company_industry,company_address,company_description,source,id,site,job_url_direct,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
"Senior Software/Solution Architect (.NET, React)","Senior Software/Solution Architect (.NET, React)",https://itviec.com/it-jobs/senior-software-solution-architect-net-react-huenx-vietnam-1037?lab_feature=preview_jd_page,,,,,,Login to view,"['91/2 đường Trần Thị Cờ, Khu phố 14, Phường Thới An, TP Hồ Chí Minh, Việt Nam, District 11, Ho Chi Minh']","91/2 đường Trần Thị Cờ, Khu phố 14, Phường Thới An, TP Hồ Chí Minh, Việt Nam, District 11, Ho Chi Minh",,,,"91/2 đường Trần Thị Cờ, Khu phố 14, Phường Thới An, TP Hồ Chí Minh, Việt Nam, District 11, Ho Chi Minh",,,,,"Software Architecture, AI, PostgreSql, ReactJS, Azure, .NET",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Da Nang & Ho Chi Minh] Technical Architect,[Da Nang & Ho Chi Minh] Technical Architect,https://itviec.com/it-jobs/da-nang-ho-chi-minh-technical-architect-one-tech-stop-vietnam-company-ltd-0714?lab_feature=preview_jd_page,,,,,,Login to view,"['Tòa nhà ETOWN 6 - 364 Cộng Hòa, Phường 13, Tan Binh, Ho Chi Minh']","Tòa nhà ETOWN 6 - 364 Cộng Hòa, Phường 13, Tan Binh, Ho Chi Minh",,,,"Tòa nhà ETOWN 6 - 364 Cộng Hòa, Phường 13, Tan Binh, Ho Chi Minh",,,,,"Software Architecture, ReactJS, NestJS, Cloud, DevOps, NodeJS",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Technical Lead / System Architect (Flutter, Rust/Go)","Technical Lead / System Architect (Flutter, Rust/Go)",https://itviec.com/it-jobs/technical-lead-system-architect-flutter-rust-go-smartoshi-technology-4318?lab_feature=preview_jd_page,,,,,,Login to view,"['WiYO Complex, 46 N3C Street – The Global City, An Phu Ward, Thu Duc City, Ho Chi Minh']","WiYO Complex, 46 N3C Street – The Global City, An Phu Ward, Thu Duc City, Ho Chi Minh",,,,"WiYO Complex, 46 N3C Street – The Global City, An Phu Ward, Thu Duc City, Ho Chi Minh",,,,,"System Architecture, Golang, Encryption Key Management, Networking, Rust, Flutter",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal .NET Software Engineer (BONUS),Principal .NET Software Engineer (BONUS),https://itviec.com/it-jobs/principal-net-software-engineer-bonus-kms-technology-5538?lab_feature=preview_jd_page,,,,,,Login to view,"['02 Tan Vien, ward 2, Tan Binh, Ho Chi Minh']","02 Tan Vien, ward 2, Tan Binh, Ho Chi Minh",,,,"02 Tan Vien, ward 2, Tan Binh, Ho Chi Minh",,,,,".NET, DevOps, OOP, C#, .Net Core, ASP.NET",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Remote] Software Architect (NodeJS/NestJS),[Remote] Software Architect (NodeJS/NestJS),https://itviec.com/it-jobs/remote-software-architect-nodejs-nestjs-h3tech-inc-0827?lab_feature=preview_jd_page,,,,,,Login to view,"['152 Vo Van Kiet, District 1, Ho Chi Minh']","152 Vo Van Kiet, District 1, Ho Chi Minh",,,,"152 Vo Van Kiet, District 1, Ho Chi Minh",,,,,"Software Architecture, NextJS, NestJS, NodeJS, Agile, DevOps",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Lead (.NET - Reactjs/Angular),Technical Lead (.NET - Reactjs/Angular),https://itviec.com/it-jobs/technical-lead-net-reactjs-angular-emesoft-5243?lab_feature=preview_jd_page,,,,,,Login to view,"['594 - 596 Cộng Hòa, Tan Binh, Ho Chi Minh']","594 - 596 Cộng Hòa, Tan Binh, Ho Chi Minh",,,,"594 - 596 Cộng Hòa, Tan Binh, Ho Chi Minh",,,,,".Net Core, Microservices, AWS, Angular, ReactJS, Fullstack",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior/Lead Quality Engineer (Automation),Senior/Lead Quality Engineer (Automation),https://itviec.com/it-jobs/senior-lead-quality-engineer-automation-dataxight-3850?lab_feature=preview_jd_page,,,,,,Login to view,"['XL Building, 167 Trần Não, Phường An Khánh, Thủ Đức, Thành phố Hồ Chí Minh. (Quận 2 Cũ), Thu Duc City, Ho Chi Minh']","XL Building, 167 Trần Não, Phường An Khánh, Thủ Đức, Thành phố Hồ Chí Minh. (Quận 2 Cũ), Thu Duc City, Ho Chi Minh",,,,"XL Building, 167 Trần Não, Phường An Khánh, Thủ Đức, Thành phố Hồ Chí Minh. (Quận 2 Cũ), Thu Duc City, Ho Chi Minh",,,,,"Automation Test, English, Unit test, Docker, AWS, Python",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Desktop Engineer-1 Windows & 1 macOS (C language, .Net)","Desktop Engineer-1 Windows & 1 macOS (C language, .Net)",https://itviec.com/it-jobs/desktop-engineer-1-windows-1-macos-smartoshi-technology-4759?lab_feature=preview_jd_page,,,,,,Login to view,"['WiYO Complex, 46 N3C Street – The Global City, An Phu Ward, Thu Duc City, Ho Chi Minh']","WiYO Complex, 46 N3C Street – The Global City, An Phu Ward, Thu Duc City, Ho Chi Minh",,,,"WiYO Complex, 46 N3C Street – The Global City, An Phu Ward, Thu Duc City, Ho Chi Minh",,,,,"Flutter, macOS, C language, Windows, Swift, .NET",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Software Architect (Cloud, CI/CD, DevOps)","Software Architect (Cloud, CI/CD, DevOps)",https://itviec.com/it-jobs/software-architect-cloud-ci-cd-devops-ol-vietnam-1216?lab_feature=preview_jd_page,,,,,,Login to view,"['Saigon Trade Center Building, 37 Ton Duc Thang, District 1, Ho Chi Minh']","Saigon Trade Center Building, 37 Ton Duc Thang, District 1, Ho Chi Minh",,,,"Saigon Trade Center Building, 37 Ton Duc Thang, District 1, Ho Chi Minh",,,,,"Software Architecture, Design Systems, CI/CD, AI, Cloud, DevOps",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Odoo Technical Leader (Python, PostgreSQL, JavaScript)","Odoo Technical Leader (Python, PostgreSQL, JavaScript)",https://itviec.com/it-jobs/odoo-technical-leader-python-postgresql-javascript-sgh-asia-ltd-3519?lab_feature=preview_jd_page,,,,,,Login to view,"['SGH Building, 21/4 Nguyen Thi Huynh Street, Ward 8, Phu Nhuan, Ho Chi Minh']","SGH Building, 21/4 Nguyen Thi Huynh Street, Ward 8, Phu Nhuan, Ho Chi Minh",,,,"SGH Building, 21/4 Nguyen Thi Huynh Street, Ward 8, Phu Nhuan, Ho Chi Minh",,,,,"Odoo, Software Architecture, JavaScript, PostgreSql, Python",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kotlin Developer,Kotlin Developer,https://itviec.com/it-jobs/kotlin-developer-dxd-labs-company-limited-5157?lab_feature=preview_jd_page,,,,,,Login to view,"['Văn phòng 5.09 Cao ốc Văn phòng và Căn hộ CECICO 135 TOWER , Số 1014 Phạm Văn Đồng, Phường Hiệp Bình Chánh, Thu Duc City, Ho Chi Minh']","Văn phòng 5.09 Cao ốc Văn phòng và Căn hộ CECICO 135 TOWER , Số 1014 Phạm Văn Đồng, Phường Hiệp Bình Chánh, Thu Duc City, Ho Chi Minh",,,,"Văn phòng 5.09 Cao ốc Văn phòng và Căn hộ CECICO 135 TOWER , Số 1014 Phạm Văn Đồng, Phường Hiệp Bình Chánh, Thu Duc City, Ho Chi Minh",,,,,"Kotlin, English, Blockchain, OOP",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Java Developer (Spring Boot, AWS)","Java Developer (Spring Boot, AWS)",https://itviec.com/it-jobs/java-developer-spring-boot-aws-fe-credit-3039?lab_feature=preview_jd_page,,,,,,Login to view,"['REE Tower, 9 Doan Van Bo, Ward 12, District 4, Ho Chi Minh']","REE Tower, 9 Doan Van Bo, Ward 12, District 4, Ho Chi Minh",,,,"REE Tower, 9 Doan Van Bo, Ward 12, District 4, Ho Chi Minh",,,,,"Java, Microservices, OOP, BPMN, Database, AWS",,,,,,ITViec,,,,,,,,,,,,,,,,,,,,,,,,,,,
